feature,type,wasserstein_norm,js_divergence,mean_source,mean_target,prevalence_diff,q25_source,median_source,q75_source,q25_target,median_target,q75_target
D_body_is_https,binary/count,0.08188667851178551,0.0020514886045022605,0.011915,0.00303,-0.008885,0.0,0.0,0.0,0.0,0.0,0.0
D_path_token_ratio,continuous,0.10969126958482144,0.029195036947807992,2.3422262644927203,2.365178438636512,,1.5,2.0,2.6666667461395264,1.600000023841858,2.0,2.75
D_subdomain_binary,binary/count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_body_scheme_ratio,continuous,0.06475279228602503,0.0,0.0007631528455810621,0.0002294855140708387,,0.0,0.0,0.0,0.0,0.0,0.0
D_host_tld_class,continuous,0.1295930474048709,0.011055937435104198,0.481185,0.526365,,0.0,0.0,1.0,0.0,0.0,1.0
D_path_depth_binary,binary/count,0.023557023583897264,9.990038970577429e-05,0.5404,0.52866,-0.011739999999999973,0.0,1.0,1.0,0.0,1.0,1.0
E2_bucket_host_len,continuous,0.033593567878532765,0.00209489365811111,2.074725,2.100015,,1.0,2.0,3.0,1.0,2.0,3.0
E2_longest_token_rel_pos,continuous,0.0407602141644487,0.0024231150041690622,0.4129175975479884,0.42299039567263796,,0.20000000298023224,0.3484848439693451,0.6260504126548767,0.21212121844291687,0.3571428656578064,0.6376811861991882
E2_bucket_body_token_count,continuous,0.045793292793160016,0.0011977183821660364,2.19636,2.132675,,1.0,2.0,3.0,1.0,2.0,3.0
E2_bucket_bigram_entropy_norm,continuous,0.04971248653037961,0.0003411532739076889,1.9708,2.040445,,1.0,2.0,3.0,1.0,2.0,3.0
E2_last_slash_rel_pos,continuous,0.0715252115304628,0.010345606279476142,0.7679274296210805,0.7731809441204462,,0.6136363744735718,0.8571428656578064,0.9696969985961914,0.6315789222717285,0.843137264251709,0.9642857313156128
E2_bucket_gzip_ratio_body,continuous,0.07190121102124453,0.0031427937508416485,1.96797,2.07252,,1.0,2.0,3.0,1.0,2.0,3.0
E2_symbol_diversity,continuous,0.07867146298288799,0.014880037392804956,0.49805543484737164,0.5006455059595499,,0.3636363744735718,0.5,0.6000000238418579,0.3333333432674408,0.5,0.6666666865348816
E2_max_consonant_run_rel,continuous,0.08620835763210724,0.0036025020905890003,0.10974114654817385,0.11553053686132364,,0.06557376682758331,0.09375,0.13636364042758942,0.06818182021379471,0.09677419066429138,0.1388888955116272
E2_bucket_url_len,continuous,0.09783145663858177,0.0024218239010854745,2.10042,1.98911,,1.0,2.0,3.0,1.0,2.0,3.0
